speed_kmph,braking_frequency,road_condition,tyre_pressure,load_weight,temperature,steering_angle,tire_wear
81,2,5,31.69448950329241,575,38.0775167772476,6.1825016058589615,21.922243269072432
44,18,4,33.726400953015535,968,32.90168970318651,13.646895243887977,53.81980817905868
101,7,5,37.51675634044787,666,25.116061055068585,0.18729908138457763,22.523352909527592
90,15,2,39.77489916946554,412,22.875258127996325,18.210607492686687,29.798490766046548
50,11,2,39.18986708307762,347,18.65667636241077,6.516444140789554,15.597630544037772
112,18,1,39.206391314154985,772,30.292712007026143,28.36760071809498,53.13880828513163
116,12,1,32.82668481816535,670,32.5578262652954,40.627649314434116,57.17897141668548
104,6,2,33.62547856608149,348,25.78016971547362,52.470317702284625,53.71666342383708
104,20,5,36.46762475642778,287,29.260772030426057,44.95302990545389,71.32173424445043
117,13,2,39.06630313661541,523,25.905433721078,56.31513574671031,67.94928966261364
53,20,1,29.703931112225014,595,34.23018171962104,3.2338974236273277,36.824487721329014
32,16,2,31.65090236592635,989,42.0377762338969,0.7307901249924864,35.27361491856358
51,18,2,29.670962135129315,603,19.917607861408346,39.68028683017276,61.47694157883801
82,10,5,35.344102359513464,281,26.4422642970937,17.361144613334773,40.1330934997105
31,8,4,31.67561196265045,840,19.22605811852584,15.210060966346388,35.80992996897118
117,18,1,31.913294230150882,485,33.74831311223496,19.853225261627657,44.04376419414097
59,1,5,28.85099151385575,581,36.86611528465787,16.18776347354185,35.592304322631136
67,8,2,32.197552741691105,991,42.957381977923674,30.686184378095234,54.869435788003706
31,6,2,38.34995808881902,469,23.366157787828946,26.40890683344795,25.18509649794913
93,5,4,30.796873742690018,491,43.5063361759629,30.74571308259938,52.617415501235875
89,15,1,36.34224959452079,652,16.897880154620243,40.36281669002617,55.54172395869914
50,15,1,35.555540139263115,914,33.09041590093764,23.227830538268897,49.19060628443944
62,2,3,38.361815300429384,223,16.7139815802999,15.078461228529408,6.18636521795382
105,1,1,29.58745537181246,510,41.81322563285835,9.972032208524729,24.171415044302822
87,11,4,39.73107952414052,660,30.894271712101624,20.968447171957532,42.816105456518905
51,10,3,34.99154375248439,407,35.08045052288388,44.508388514770324,46.95228127072022
118,18,3,39.945689828161775,991,39.947217777313575,45.40229460668817,85.06828827439796
78,18,2,38.93817671039021,916,19.509318674519065,40.01432320105262,63.642254593060045
120,17,2,30.65820726535727,863,16.157746858144016,14.041690518412475,51.11950097771523
88,8,1,28.673944118839756,637,41.366434377385566,35.285174751281865,50.46893116255246
71,15,3,31.067669125544338,737,24.447996823767973,34.24137969461088,60.114049813994654
89,8,2,34.330763787993035,905,18.86936723781496,29.055971886583528,46.02015519387472
109,17,4,30.05915640478228,535,29.053837112612598,32.99873918303185,64.66843036596373
44,12,2,30.009516934215863,621,32.94918227088056,29.507437957420084,41.56443826603669
91,8,2,33.551122565261835,949,15.929118102675304,33.92738196444649,45.21557852072448
91,14,3,28.3992156540323,520,23.24686974771263,42.930357277267724,69.2516083015716
76,4,3,29.462656990387245,696,15.98399622830688,6.577691664206384,21.444347522826916
91,1,5,32.990336072895374,786,27.61006167586497,44.97754512894142,60.928798345936706
80,1,4,28.757558910495597,362,41.853000871987334,8.153169007655652,22.013946579927527
84,19,3,32.761060677466354,740,44.479572344807075,3.997679904622482,52.029555972037535
93,16,1,33.688075191381344,364,34.111426605108825,58.564781173288054,69.91845749217747
32,14,4,33.415199368877374,897,19.849130813537755,57.41950613222649,74.77237510270788
80,16,4,38.430098288837044,765,42.17548169997917,3.626192696433843,40.561477366322904
36,5,3,34.36074946062079,494,30.487434696001813,26.59520648849773,29.853522615157367
50,9,4,33.61576554973652,241,19.612479363087544,11.174696297986484,21.35537118487142
102,2,3,32.928510944699994,484,42.651800083549844,29.120693828065086,35.07869492472215
68,18,2,37.811480539653836,586,37.72407152169309,49.81063457997524,63.080760428252916
47,6,5,38.740679247997996,337,36.951158181694545,57.036706484573415,60.308628929822326
33,9,2,38.23890963036541,386,36.27542111383214,38.055159207092245,41.04327957471358
118,1,3,36.08255893757669,915,21.01019463289327,21.23434003270902,30.22387288912117
89,9,3,29.648340951624093,630,21.33020075122578,36.199533938675906,56.366287434509296
43,16,2,31.322439633904146,753,35.64878995281765,18.72007836650702,47.017843751526286
38,13,1,28.55275676418373,615,21.591682503311908,54.58941844992362,70.19865436933146
119,9,1,39.16988889988137,999,28.160150904091466,52.22402778635022,59.2630322847692
82,13,1,35.92958235629092,625,38.46005476781824,33.49390501677966,50.24417343782752
